,Temp,Enthalpy,Step,Time
0,49.66655,-4.962783203125,0.0,0.0
1,49.63259,-4.962742919921875,50000.0,0.05
2,49.92646,-4.962618408203125,100000.0,0.1
3,49.82375,-4.962728271484375,150000.0,0.15
4,50.29564,-4.962713623046875,200000.0,0.2
5,50.14347,-4.96267822265625,250000.0,0.25
6,50.5407,-4.962630615234375,300000.0,0.3
7,49.50751,-4.96274658203125,350000.0,0.35
8,49.3694,-4.96273681640625,400000.0,0.4
9,50.02581,-4.962662353515625,450000.0,0.45
10,49.91642,-4.9626953125,500000.0,0.5
11,49.13738,-4.9627685546875,550000.0,0.55
12,50.09377,-4.9626611328125,600000.0,0.6
13,50.24991,-4.9626708984375,650000.0,0.65
14,49.60733,-4.962789306640625,700000.0,0.7
15,49.75207,-4.962786865234375,750000.0,0.75
16,50.41307,-4.962689208984375,800000.0,0.8
17,50.60512,-4.962635498046875,850000.0,0.85
18,49.82586,-4.9627197265625,900000.0,0.9
19,49.97139,-4.962650146484375,950000.0,0.95
20,49.88527,-4.96275390625,1000000.0,1.0
21,49.80087,-4.9626513671875,1050000.0,1.05
22,49.63487,-4.96268798828125,1100000.0,1.1
23,50.6217,-4.962607421875,1150000.0,1.15
24,50.26025,-4.962786865234375,1200000.0,1.2
25,50.64127,-4.962647705078125,1250000.0,1.25
26,49.91303,-4.962701416015625,1300000.0,1.3
27,49.82555,-4.9626806640625,1350000.0,1.35
28,50.31492,-4.962601318359375,1400000.0,1.4
29,51.00097,-4.962445068359375,1450000.0,1.45
30,50.87421,-4.96251953125,1500000.0,1.5
31,50.51664,-4.96255859375,1550000.0,1.55
32,49.93671,-4.962568359375,1600000.0,1.6
33,49.17722,-4.9627783203125,1650000.0,1.65
34,50.16452,-4.962763671875,1700000.0,1.7
35,49.84047,-4.96266845703125,1750000.0,1.75
36,49.67133,-4.962677001953125,1800000.0,1.8
37,49.27936,-4.96284912109375,1850000.0,1.85
38,50.65098,-4.962591552734375,1900000.0,1.9
39,50.33926,-4.962679443359375,1950000.0,1.95
40,49.7912,-4.96272705078125,2000000.0,2.0
41,49.7912,-4.96272705078125,2000000.0,2.0
42,62.04569,-4.9598828125,2050000.0,2.05
43,74.12238,-4.9566455078125,2100000.0,2.1
44,87.87356,-4.953328857421875,2150000.0,2.15
45,99.75873,-4.950003662109375,2200000.0,2.2
46,112.0489,-4.947054443359375,2250000.0,2.25
47,126.0149,-4.944158935546875,2300000.0,2.3
48,137.2905,-4.940684814453125,2350000.0,2.35
49,147.7832,-4.938028564453125,2400000.0,2.4
50,161.646,-4.934775390625,2450000.0,2.45
51,165.6293,-4.933702392578125,2460000.0,2.46
52,165.6293,-4.933702392578125,2460000.0,2.46
53,176.148,-4.931304931640625,2500000.0,2.5
54,183.1198,-4.928873291015625,2550000.0,2.55
55,201.7059,-4.924967041015625,2600000.0,2.6
56,217.2675,-4.921929931640625,2650000.0,2.65
57,225.3419,-4.9189990234375,2700000.0,2.7
58,237.0046,-4.916341552734375,2750000.0,2.75
59,248.8761,-4.912357177734375,2800000.0,2.8
60,262.0247,-4.90999267578125,2850000.0,2.85
61,275.3973,-4.906534423828125,2900000.0,2.9
62,277.6162,-4.905531005859375,2920000.0,2.92
63,277.6162,-4.905531005859375,2920000.0,2.92
64,288.6328,-4.903214111328125,2950000.0,2.95
65,299.5984,-4.9007958984375,3000000.0,3.0
66,313.0494,-4.8968505859375,3050000.0,3.05
67,323.2961,-4.894381103515625,3100000.0,3.1
68,338.5218,-4.891771240234375,3150000.0,3.15
69,345.6581,-4.888543701171875,3200000.0,3.2
70,363.2574,-4.885035400390625,3250000.0,3.25
71,374.4666,-4.882161865234375,3300000.0,3.3
72,387.0885,-4.878681640625,3350000.0,3.35
73,398.1722,-4.87681884765625,3380000.0,3.38
74,398.1722,-4.87681884765625,3380000.0,3.38
75,402.6401,-4.87495849609375,3400000.0,3.4
76,413.1818,-4.871939697265625,3450000.0,3.45
77,427.5234,-4.870078125,3500000.0,3.5
78,435.4849,-4.8672412109375,3550000.0,3.55
79,447.4087,-4.8627587890625,3600000.0,3.6
80,464.8703,-4.859049072265625,3650000.0,3.65
81,471.7581,-4.856884765625,3700000.0,3.7
82,487.6147,-4.852650146484375,3750000.0,3.75
83,497.2439,-4.850833740234375,3800000.0,3.8
84,513.3345,-4.847789306640625,3840000.0,3.84
85,513.3345,-4.847789306640625,3840000.0,3.84
86,512.5093,-4.847467041015625,3850000.0,3.85
87,529.1732,-4.84355712890625,3900000.0,3.9
88,549.6381,-4.83869384765625,3950000.0,3.95
89,552.4955,-4.836431884765625,4000000.0,4.0
90,555.6839,-4.833531494140625,4050000.0,4.05
91,574.5917,-4.82980224609375,4100000.0,4.1
92,580.3397,-4.826160888671875,4150000.0,4.15
93,606.5593,-4.82317138671875,4200000.0,4.2
94,608.4188,-4.820897216796875,4250000.0,4.25
95,625.6576,-4.81589599609375,4300000.0,4.3
96,625.6576,-4.81589599609375,4300000.0,4.3
97,641.352,-4.81267578125,4350000.0,4.35
98,652.7891,-4.81081787109375,4400000.0,4.4
99,661.9801,-4.807945556640625,4450000.0,4.45
100,666.7206,-4.803853759765625,4500000.0,4.5
101,692.4639,-4.801551513671875,4550000.0,4.55
102,694.6961,-4.797235107421875,4600000.0,4.6
103,713.0751,-4.79296630859375,4650000.0,4.65
104,713.2341,-4.79137451171875,4700000.0,4.7
105,735.2758,-4.7868603515625,4750000.0,4.75
106,741.312,-4.784185791015625,4760000.0,4.76
107,741.312,-4.784185791015625,4760000.0,4.76
108,747.4176,-4.783048095703125,4800000.0,4.8
109,764.3278,-4.778651123046875,4850000.0,4.85
110,769.6962,-4.77541748046875,4900000.0,4.9
111,790.2204,-4.771279296875,4950000.0,4.95
112,817.0547,-4.767442626953125,5000000.0,5.0
113,799.0427,-4.764686279296875,5050000.0,5.05
114,816.8291,-4.762451171875,5100000.0,5.1
115,842.3387,-4.75506591796875,5150000.0,5.15
116,848.688,-4.751778564453125,5200000.0,5.2
117,845.9481,-4.749488525390625,5220000.0,5.22
118,845.9481,-4.749488525390625,5220000.0,5.22
119,859.0385,-4.74455078125,5250000.0,5.25
120,872.725,-4.744173583984375,5300000.0,5.3
121,892.1748,-4.736219482421875,5350000.0,5.35
122,898.1589,-4.72991455078125,5400000.0,5.4
123,917.4526,-4.725858154296875,5450000.0,5.45
124,941.5086,-4.7194482421875,5500000.0,5.5
125,946.3559,-4.71760498046875,5550000.0,5.55
126,952.7658,-4.710823974609375,5600000.0,5.6
127,965.6481,-4.708387451171875,5650000.0,5.65
128,982.053,-4.701751708984375,5680000.0,5.68
129,982.053,-4.701751708984375,5680000.0,5.68
130,970.4505,-4.702139892578125,5700000.0,5.7
131,980.4933,-4.698690185546875,5750000.0,5.75
132,995.5884,-4.69427490234375,5800000.0,5.8
133,1024.652,-4.6859228515625,5850000.0,5.85
134,1034.309,-4.68143310546875,5900000.0,5.9
135,1037.266,-4.678919677734375,5950000.0,5.95
136,1050.32,-4.67245849609375,6000000.0,6.0
137,1058.229,-4.665765380859375,6050000.0,6.05
138,1091.719,-4.663050537109375,6100000.0,6.1
139,1064.904,-4.665421142578125,6140000.0,6.14
140,1064.904,-4.665421142578125,6140000.0,6.14
141,1080.904,-4.66074462890625,6150000.0,6.15
142,1089.391,-4.658497314453125,6200000.0,6.2
143,1105.078,-4.652060546875,6250000.0,6.25
144,1141.048,-4.64532958984375,6300000.0,6.3
145,1133.457,-4.643111572265625,6350000.0,6.35
146,1144.67,-4.636409912109375,6400000.0,6.4
147,1161.735,-4.630064697265625,6450000.0,6.45
148,1198.903,-4.62457763671875,6500000.0,6.5
149,1191.196,-4.62200439453125,6550000.0,6.55
150,1215.15,-4.6145947265625,6600000.0,6.6
