,Temp,Enthalpy,Step,Time
0,49.66655,-4.962783203125,0.0,0.0
1,55.15427,-4.961363525390625,50000.0,0.05
2,60.53344,-4.960003662109375,100000.0,0.1
3,64.73778,-4.95884033203125,150000.0,0.15
4,69.40326,-4.957359619140625,200000.0,0.2
5,75.81579,-4.956214599609375,250000.0,0.25
6,80.05617,-4.955008544921875,300000.0,0.3
7,84.93184,-4.953778076171875,350000.0,0.35
8,91.13356,-4.9523583984375,400000.0,0.4
9,94.08298,-4.9519775390625,450000.0,0.45
10,100.8741,-4.95042724609375,500000.0,0.5
11,105.3638,-4.94932373046875,550000.0,0.55
12,109.8281,-4.947802734375,600000.0,0.6
13,114.7224,-4.946558837890625,650000.0,0.65
14,119.324,-4.9458251953125,700000.0,0.7
15,123.5146,-4.944249267578125,750000.0,0.75
16,130.4088,-4.9428857421875,800000.0,0.8
17,134.557,-4.941976318359375,850000.0,0.85
18,139.8267,-4.940672607421875,900000.0,0.9
19,145.3396,-4.9394140625,950000.0,0.95
20,152.7405,-4.937518310546875,1000000.0,1.0
21,154.026,-4.9369140625,1050000.0,1.05
22,158.9285,-4.935692138671875,1100000.0,1.1
23,164.7029,-4.934283447265625,1150000.0,1.15
24,164.7029,-4.934283447265625,1150000.0,1.15
25,168.0163,-4.933287353515625,1200000.0,1.2
26,177.2434,-4.93178466796875,1250000.0,1.25
27,180.6583,-4.93029296875,1300000.0,1.3
28,183.2647,-4.9296875,1350000.0,1.35
29,190.8148,-4.92801025390625,1400000.0,1.4
30,195.9295,-4.92638427734375,1450000.0,1.45
31,200.5882,-4.92537109375,1500000.0,1.5
32,202.8781,-4.92475830078125,1550000.0,1.55
33,210.4175,-4.922813720703125,1600000.0,1.6
34,216.3421,-4.921455078125,1650000.0,1.65
35,219.3233,-4.920784912109375,1700000.0,1.7
36,224.6184,-4.918804931640625,1750000.0,1.75
37,232.6472,-4.917567138671875,1800000.0,1.8
38,234.5064,-4.91652587890625,1850000.0,1.85
39,238.9459,-4.915718994140625,1900000.0,1.9
40,248.59,-4.913935546875,1950000.0,1.95
41,247.6734,-4.912979736328125,2000000.0,2.0
42,253.5597,-4.91234130859375,2050000.0,2.05
43,260.1172,-4.91100341796875,2100000.0,2.1
44,271.0074,-4.908822021484375,2150000.0,2.15
45,267.9585,-4.90857666015625,2200000.0,2.2
46,276.5111,-4.907227783203125,2250000.0,2.25
47,274.805,-4.907156982421875,2300000.0,2.3
48,274.805,-4.907156982421875,2300000.0,2.3
49,280.898,-4.905294189453125,2350000.0,2.35
50,287.2989,-4.904146728515625,2400000.0,2.4
51,296.3588,-4.90221923828125,2450000.0,2.45
52,298.9494,-4.901397705078125,2500000.0,2.5
53,309.8367,-4.89861083984375,2550000.0,2.55
54,313.2123,-4.8985791015625,2600000.0,2.6
55,313.5768,-4.898092041015625,2650000.0,2.65
56,320.3585,-4.895869140625,2700000.0,2.7
57,334.0101,-4.89426025390625,2750000.0,2.75
58,323.2122,-4.895411376953125,2800000.0,2.8
59,328.8206,-4.894351806640625,2850000.0,2.85
60,333.3228,-4.893077392578125,2900000.0,2.9
61,345.6502,-4.89045166015625,2950000.0,2.95
62,350.6968,-4.889344482421875,3000000.0,3.0
63,352.0787,-4.888760986328125,3050000.0,3.05
64,359.4404,-4.8864990234375,3100000.0,3.1
65,369.1642,-4.885103759765625,3150000.0,3.15
66,370.8097,-4.884227294921875,3200000.0,3.2
67,370.0759,-4.88398193359375,3250000.0,3.25
68,378.8419,-4.882232666015625,3300000.0,3.3
69,385.8189,-4.880035400390625,3350000.0,3.35
70,388.878,-4.87888671875,3400000.0,3.4
71,396.5783,-4.87791748046875,3450000.0,3.45
72,396.5783,-4.87791748046875,3450000.0,3.45
73,399.3501,-4.877174072265625,3500000.0,3.5
74,410.8473,-4.8751416015625,3550000.0,3.55
75,416.0737,-4.872987060546875,3600000.0,3.6
76,417.8786,-4.8720703125,3650000.0,3.65
77,416.2495,-4.87147216796875,3700000.0,3.7
78,424.8617,-4.869896240234375,3750000.0,3.75
79,432.8172,-4.868431396484375,3800000.0,3.8
80,431.1686,-4.86931396484375,3850000.0,3.85
81,444.1162,-4.864942626953125,3900000.0,3.9
82,452.1207,-4.865155029296875,3950000.0,3.95
