,T,Enth
0,49.97374,-673917.4
1,51.45797,-673870.4
2,52.47971,-673830.3
3,53.75905,-673785.7
4,54.94566,-673743.1
5,56.02629,-673699.1
6,57.30841,-673654.3
7,58.65429,-673613.9
8,59.88418,-673566.5
9,61.15221,-673525.0
10,62.53135,-673476.9
11,63.857,-673428.7
12,65.10748,-673384.8
13,66.26121,-673343.0
14,67.30684,-673303.2
15,68.84383,-673249.8
16,69.91871,-673214.5
17,71.32325,-673167.6
18,72.33573,-673133.5
19,73.87106,-673076.3
20,75.12462,-673034.6
21,76.10515,-672998.3
22,77.42365,-672949.6
23,78.59104,-672910.5
24,80.04851,-672870.6
25,81.24072,-672819.4
26,82.46862,-672783.4
27,83.78456,-672734.6
28,84.79526,-672695.9
29,86.52966,-672638.0
30,87.60238,-672604.9
31,88.66495,-672558.0
32,90.16835,-672518.1
33,91.10692,-672471.7
34,92.42783,-672427.1
35,93.69623,-672384.7
36,94.85438,-672344.5
37,96.36496,-672297.7
38,97.59814,-672252.7
39,98.74401,-672220.4
40,99.87974,-672168.4
41,101.2384,-672126.9
42,102.5256,-672089.6
43,103.625,-672040.8
44,104.7367,-672002.6
45,106.5549,-671955.4
46,107.2224,-671922.1
47,108.9174,-671864.9
48,109.9029,-671824.3
49,111.0519,-671785.9
50,112.7059,-671728.7
51,113.6267,-671685.7
52,114.7976,-671650.0
53,116.5122,-671599.2
54,117.8964,-671547.3
55,118.4642,-671511.2
56,119.5961,-671476.8
57,120.955,-671426.5
58,122.7983,-671378.5
59,124.013,-671338.5
60,125.0256,-671295.9
61,126.4316,-671251.0
62,127.1056,-671220.8
63,128.6645,-671177.6
64,129.7003,-671122.5
65,131.2225,-671085.8
66,132.9267,-671036.1
67,133.4423,-670996.0
68,135.3036,-670953.3
69,136.1906,-670919.4
70,137.2198,-670868.4
71,138.7725,-670835.8
72,139.8429,-670779.2
73,141.7462,-670722.0
74,142.0442,-670693.3
75,143.8575,-670648.5
76,144.8643,-670599.4
77,145.9584,-670553.9
78,147.7906,-670507.4
79,148.5122,-670474.9
80,149.6115,-670422.4
81,151.0201,-670391.8
82,152.5577,-670338.8
83,152.645,-670311.1
84,154.8037,-670256.0
85,156.0442,-670198.3
86,157.9914,-670166.1
87,158.6638,-670107.2
88,160.0501,-670071.3
89,160.9834,-670054.4
90,162.5496,-669985.5
91,164.1343,-669933.0
92,165.2067,-669899.0
93,166.8752,-669843.8
94,167.5245,-669810.0
95,168.8316,-669767.2
96,169.6013,-669728.6
97,171.4896,-669679.0
98,171.8533,-669649.3
99,173.3529,-669595.8
100,174.6286,-669566.9
101,176.3201,-669508.0
102,177.5245,-669466.9
103,179.071,-669413.5
104,179.9417,-669372.3
105,181.2125,-669331.0
106,182.8883,-669265.9
107,183.7288,-669258.8
108,185.23,-669190.8
109,186.2921,-669147.6
110,186.9566,-669104.3
111,188.0504,-669070.5
112,190.5352,-669007.8
113,190.6839,-668991.5
114,193.0917,-668925.5
115,193.8262,-668899.1
116,194.2953,-668875.9
117,196.2924,-668792.4
118,197.1321,-668763.4
119,198.9053,-668708.4
120,199.9866,-668685.9
121,201.6197,-668628.8
122,203.2138,-668575.8
123,203.9202,-668530.6
124,204.5283,-668513.3
125,206.0458,-668460.1
126,207.8538,-668396.6
127,208.6511,-668367.8
128,209.7635,-668328.0
129,211.0705,-668278.9
130,213.1953,-668233.5
131,214.2491,-668186.9
132,215.0167,-668147.8
133,215.0199,-668136.3
