,Temp,Enthalpy,Step
0,49.97374,-673917.4,0.0
1,50.68151,-673898.6,5000.0
2,51.14698,-673878.9,10000.0
3,51.75498,-673853.8,15000.0
4,52.41464,-673831.0,20000.0
5,53.04212,-673808.9,25000.0
6,53.71763,-673783.8,30000.0
7,54.34068,-673765.6,35000.0
8,54.99797,-673740.5,40000.0
9,55.45104,-673722.2,45000.0
10,56.38829,-673695.6,50000.0
11,56.94602,-673674.1,55000.0
12,57.6319,-673651.7,60000.0
13,57.86852,-673636.2,65000.0
14,58.72275,-673608.1,70000.0
15,59.24606,-673591.6,75000.0
16,60.10875,-673566.4,80000.0
17,60.50285,-673544.2,85000.0
18,61.13799,-673521.9,90000.0
19,61.85778,-673497.0,95000.0
20,62.58504,-673476.1,100000.0
21,63.06814,-673462.2,105000.0
22,63.71301,-673430.3,110000.0
23,64.34503,-673414.1,115000.0
24,65.1671,-673391.5,120000.0
25,65.39499,-673379.7,125000.0
26,66.26975,-673347.6,130000.0
27,66.96148,-673318.1,135000.0
28,67.46897,-673300.8,140000.0
29,68.21413,-673278.3,145000.0
30,68.76744,-673257.3,150000.0
31,69.24738,-673236.6,155000.0
32,69.94908,-673212.1,160000.0
33,70.89866,-673183.9,165000.0
34,71.0743,-673172.9,170000.0
35,71.83954,-673145.9,175000.0
36,72.33396,-673131.2,180000.0
37,72.85602,-673108.3,185000.0
38,73.29594,-673092.4,190000.0
39,74.37603,-673063.6,195000.0
40,75.07719,-673034.6,200000.0
41,75.7489,-673013.4,205000.0
42,76.33484,-672987.2,210000.0
43,76.79138,-672973.4,215000.0
44,77.75358,-672947.5,220000.0
45,78.2514,-672935.8,225000.0
46,78.6789,-672908.1,230000.0
47,79.14849,-672891.6,235000.0
48,79.84508,-672868.9,240000.0
49,80.69729,-672838.4,245000.0
50,81.55634,-672817.7,250000.0
51,81.70756,-672807.7,255000.0
52,82.79369,-672778.1,260000.0
53,83.32719,-672756.4,265000.0
54,83.66072,-672747.8,270000.0
55,84.46015,-672717.2,275000.0
56,84.93636,-672701.3,280000.0
57,85.40094,-672677.0,285000.0
58,86.44378,-672653.0,290000.0
59,86.63922,-672634.9,295000.0
60,87.45473,-672607.5,300000.0
61,88.16123,-672585.2,305000.0
