,T1,1,T2,2,T3,3,T5,5,T7,7
0,50.01315,-4.946644667766612,50.08503,-4.9456148498831425,50.04642,-4.94617157107232,49.91127,-4.946217453364178,50.12478,-4.946413054895109
1,49.92806,-4.946686665666717,50.11819,-4.945647310281457,49.99395,-4.946152618453866,50.06971,-4.946217453364178,50.02034,-4.946465572392984
2,49.98723,-4.946681165941703,50.08269,-4.945639819420307,49.97889,-4.946167082294265,50.02933,-4.9462223753506915,50.08183,-4.946460798074995
3,49.99969,-4.946654667266637,50.0387,-4.945673278600108,50.14963,-4.9461536159601,49.98635,-4.946237141310233,50.02644,-4.9464798953469495
4,49.90834,-4.946705664716764,50.0047,-4.945677773116798,50.01867,-4.946188029925187,49.98927,-4.946242063296746,49.94169,-4.9464846696649385
5,50.10189,-4.946658167091646,49.91635,-4.945701244481732,49.86352,-4.946170074812968,49.97479,-4.946251907269774,50.13341,-4.946460798074995
6,49.9807,-4.946703664816759,50.1371,-4.945664788957472,50.15075,-4.946184538653367,50.0621,-4.946246985283261,49.81577,-4.9464894439829274
7,49.89138,-4.946712664366782,49.87069,-4.945704740216935,50.11554,-4.946177057356609,49.98193,-4.946261751242802,50.09276,-4.9464846696649385
8,49.99683,-4.94671616419179,49.85988,-4.945706737779909,49.87676,-4.946215960099751,50.12109,-4.946251907269774,50.13279,-4.9464894439829274
9,49.98397,-4.946714164291786,50.13101,-4.94568576336869,49.96506,-4.946193017456359,49.99491,-4.946271595215829,50.04256,-4.9464846696649385
10,49.91147,-4.9466891655417236,49.84165,-4.945726214018897,49.9578,-4.946202493765586,50.20031,-4.946232219323719,49.94091,-4.94651331557287
11,50.02825,-4.946691165441727,50.02542,-4.945698747528016,49.84807,-4.9462309226932675,49.92596,-4.9463011271349115,49.94422,-4.946541961480802
12,49.86274,-4.946696665166742,49.9299,-4.945720221329978,49.82589,-4.94622144638404,49.90375,-4.9463011271349115,50.02661,-4.946503766936893
13,49.92408,-4.9466961651917405,50.14123,-4.945683765805717,49.97508,-4.94618753117207,50.0858,-4.946271595215829,50.11769,-4.9464942183009155
14,50.03839,-4.946711164441778,49.89962,-4.9457297097541,49.84982,-4.946220448877805,49.91193,-4.946276517202343,49.80111,-4.946561058752757
15,50.02914,-4.946704664766762,50.06079,-4.945693254229839,50.02174,-4.946197007481297,50.11956,-4.946251907269774,49.99625,-4.946527638526836
16,49.94834,-4.946700164991751,50.0717,-4.945715227422545,50.04414,-4.946192518703242,49.80511,-4.946310971107939,50.10539,-4.946527638526836
17,49.95051,-4.946721663916804,49.94335,-4.945715726813288,49.9883,-4.946221945137157,50.02166,-4.946271595215829,49.93795,-4.946556284434768
18,50.10171,-4.946694665266737,50.09442,-4.945704740216935,49.98533,-4.946210473815461,49.86492,-4.946330659053994,50.04826,-4.946537187162813
19,49.9007,-4.946739663016849,49.73319,-4.945760671980184,49.97971,-4.946222443890274,49.84324,-4.946320815080966,50.00894,-4.946551510116779
20,50.07016,-4.946706164691765,50.09939,-4.945721719502207,50.22859,-4.946190523690773,50.15526,-4.946276517202343,50.06696,-4.946580156024712
21,49.96968,-4.946718664066797,50.05417,-4.9457252152374105,50.06159,-4.946237406483791,49.96149,-4.9463011271349115,49.99546,-4.946575381706723
22,50.09001,-4.946717664116794,50.05045,-4.945738199396736,50.11696,-4.946219451371571,49.8392,-4.946320815080966,49.91595,-4.9465849303427
23,49.81098,-4.9467766611669415,50.01925,-4.945711232296598,50.00873,-4.946216458852868,50.10024,-4.946306049121425,49.99029,-4.946561058752757
24,50.08545,-4.946718164091795,50.04848,-4.9457252152374105,50.0209,-4.9462309226932675,50.02135,-4.946325737067481,50.16242,-4.946532412844825
25,50.10396,-4.946719164041798,50.06365,-4.945721719502207,50.03593,-4.946244389027432,49.96136,-4.946335581040508,50.02598,-4.946565833070746
26,50.00733,-4.946732163391831,50.11465,-4.945731707317073,49.97886,-4.946246384039901,50.00761,-4.946320815080966,49.88158,-4.946589704660689
27,49.9701,-4.946741662916854,49.97515,-4.945752182337548,50.1852,-4.946215461346633,49.91463,-4.946340503027022,50.08706,-4.946561058752757
28,49.94309,-4.946737163141843,50.01797,-4.945731707317073,50.12335,-4.946218453865337,50.02108,-4.946320815080966,49.87242,-4.946604027614655
29,49.97739,-4.946774161291936,50.06017,-4.9457676634505905,49.96157,-4.9462299251870325,50.07092,-4.9463454250135355,50.02054,-4.946580156024712
30,49.93674,-4.9467701614919255,49.96435,-4.945783643954376,50.12753,-4.9462309226932675,50.03835,-4.9463454250135355,50.02238,-4.9465849303427
